ABBREVIATION,SOURCES
Augen Auf,Augen auf e. V. (DE)
AugenAufCH,Augen auf – Zivilcourage zeigen! (CH)
Aujourd'hui,Aujourd'hui Le Maroc (MA)
Australian,The Australian (AU)
Avgi,I Avgi (GR)
AVUI,AVUI (ES)
AVV,Avvenire Nuova Editoriale Italiana (IT)
AZ,Abendzeitung (DE)
b92,RTV B92 (RS)
Babelmed,Babelmed (IT)
BAIN news,Berlin Antiracist Information Network (DE)
Balkaneu,Balkan News Agency
BalkanInsight,Balkan Investigative Reporting Network
BangkokPost,Bangkok Post (TH)
BarentsObs,Barents Observer (NO)
BAZ,Basler Zeitung (CH)
BBC,British Broadcasting Company (GB)
BDNEWS24,Bangladesh News 24 (BD)
BelT,Belfast Telegraph (GB)
BELT,Belt Ibérica (ES)
Berliner Ztg,Berliner Zeitung (DE)
Berria,Berria (ES)
BGNES,BGNES News Agency (BG)
BGS,Bundespolizei (DE)
Bianet,Bianet Independant Press Agency (TR)
BildungFurAlle,Verein Bildung für Alle (CH)
BirminghamMail,Birmingham Mail (GB)
BIS,"Body, Identity, Space (GB)"
Blackbox,"Blackbox Abschiebung, Miltiadis Oulios, ed. Suhrkamp, 2015 (DE)"
Bladi,Bladi (MA)
Blic,Blic Online (RS)
BLINK,Black Information Link (GB)
Blitz,Blitz Quotidiano (IT)
BM,Bigotry Monitor (US)
BNNVARA,BNN-VARA (NL)
BolognaT,Bologna Today (IT)
BorderlineEU,"borderline-europe, Menschenrechte ohne Grenzen e. V. (DE)"
Borderzerolist,Borderzerolist (IT)
Boston,The Boston Globe (US)
BostonH,Boston Herald (US)
BourEcho,Bournemouth Echo (GB)
br2,Bruxelles2 (BE)
BRC,British Refugee Council (GB)
Breitbart,Breitbart News (US)
BrusselsTimes,The Brussels Times (BE)
BT-Drucksache,Bundestagsdrucksache (DE)
BTB,Belfast to Brussels (GB)
Budapestsun,Budapest Sun (HU)
Bündner Tagblatt,Bündner Tagblatt (CH)
BusStan,Business Standard
CadSER,Cadena SER (ES)
Caminando,Caminando Fronteras (ES)
Can7,Canarias7 (ES)
Canadian,The Canadian Press (CA)
CARF,Campaign Against Racism & Fascism (GB)
Caritas,Caritas International
CaucKnot,Caucasian Knot (RU)
CBC,Canadian Broadcasting Company (CA)
CBS,CBS News (US)
CCLE,Collectif Contre les Expulsions - Liège (BE)
CDM,Corriere Del Mezzogiorno (IT)
CDS,Corriere della Sera (IT)
Cesdop,C. Documentazione Provinciale sulle dipendenze e l'emarginazione (IT)
CeutaTV,Ceuta TV (ES)
CF,Casa free (MA)
CGIL,Confederazione Generale Italiana del Lavoro (IT)
Chabacka,Chabacka (MA)
ChAfrica,Channel Africa (ZA)
ChinaView,China View (CN)
ChNewsAsia,Channel News Asia
CihanNews,Cihan Haber Ajansı (TR)
Citizen,The Citizen (ZA)
Clandestina,Clandestina News (GR)
ClandestinE,Clandestinenglish (GR)
CLUE,Civil Liberties Union for Europe
CMau,Courier Mail (AU)
CMG,Concerned Migrant Group (MA)
CMS,Calais Migrant Solidarity
CNN,Cables News Network (US)
CNNit,Cables News Network (IT)
CoastGuardS,Swedish Coast Guard (SE)
COE,Directorate General Human Rights and Rule of Law
Congoo,Congoo (US)
Connect,ConnectAfrica
COR,Cronache di Ordinario Razzismo (IT)
CorAdriatico,Corriere Adriatico (IT)
Corrispondenti,Corrispondenti.net (IT)
CostaCádiz,Costa Cádiz (ES)
CPD,C'est pour dire (FR)
CPH,The Copenhagen Post (DK)
CR,Comite Rechtsherstel (NL)
CRACPE,Collectif de Résistance Aux Centres Pour Etrangers (BE)
